MASS        E           DATA        ERR-S
85.         0.1         0.399302    0.133683
85.         0.3         1.02629     0.209862
85.         0.5         1.1         0.220699
85.         0.7         0.594468    0.166109
85.         0.9         0.875824    0.204387
85.         1.1         0.700551    0.184172
85.         1.3         0.486423    0.164549
85.         1.5         0.582607    0.178373
85.         1.7         0.448632    0.159989
85.         1.9         0.348476    0.145522
85.         2.1         0.224088    0.112911
85.         2.3         0.264691    0.134181
85.         2.5         0.          0.
85.         2.7         0.405431    0.169669
85.         2.9         0.          0.
85.         3.1         0.          0.
85.         3.3         0.302012    0.151703
85.         3.5         0.34013     0.172694
85.         3.7         0.          0.
85.         3.9         0.          0.
85.         4.1         0.          0.
85.         4.3         0.          0.
85.         4.5         0.          0.
85.         4.7         0.          0.
85.         4.9         0.          0.
85.         5.1         0.          0.
85.         5.3         0.          0.
85.         5.5         0.          0.
85.         5.7         0.          0.
85.         5.9         0.          0.
85.         6.1         0.          0.
85.         6.3         0.          0.
85.         6.5         0.          0.
85.         6.7         0.          0.
85.         6.9         0.          0.
85.         7.1         0.          0.
85.         7.3         0.          0.
85.         7.5         0.          0.
85.         7.7         0.          0.
85.         7.9         0.          0.
85.         8.1         0.          0.
85.         8.3         0.          0.
85.         8.5         0.          0.
85.         8.7         0.          0.
85.         8.9         0.          0.
85.         9.1         0.          0.
85.         9.3         0.          0.
85.         9.5         0.          0.
85.         9.7         0.          0.
85.         9.9         0.          0.
85.         10.1        0.          0.
85.         10.3        0.          0.
85.         10.5        0.          0.
85.         10.7        0.          0.
85.         10.9        0.          0.
85.         11.1        0.          0.
85.         11.3        0.          0.
85.         11.5        0.          0.
85.         11.7        0.          0.
85.         11.9        0.          0.
85.         12.1        0.          0.
85.         12.3        0.          0.
85.         12.5        0.          0.
85.         12.7        0.          0.
85.         12.9        0.          0.
85.         13.1        0.          0.
85.         13.3        0.          0.
85.         13.5        0.          0.
85.         13.7        0.          0.
85.         13.9        0.          0.
85.         14.1        0.          0.
85.         14.3        0.          0.
85.         14.5        0.          0.
85.         14.7        0.          0.
85.         14.9        0.          0.
86.         0.1         0.334562    0.0845185
86.         0.3         0.765199    0.128096
86.         0.5         0.803035    0.132472
86.         0.7         0.716686    0.128285
86.         0.9         0.694127    0.127811
86.         1.1         0.66373     0.1303
86.         1.3         0.474808    0.113528
86.         1.5         0.402909    0.10453
86.         1.7         0.580246    0.132165
86.         1.9         0.410743    0.110962
86.         2.1         0.271164    0.0981527
86.         2.3         0.33152     0.106633
86.         2.5         0.22904     0.0882466
86.         2.7         0.          0.
86.         2.9         0.290235    0.104174
86.         3.1         0.          0.
86.         3.3         0.          0.
86.         3.5         0.          0.
86.         3.7         0.          0.
86.         3.9         0.          0.
86.         4.1         0.          0.
86.         4.3         0.          0.
86.         4.5         0.143388    0.0831666
86.         4.7         0.          0.
86.         4.9         0.          0.
86.         5.1         0.          0.
86.         5.3         0.          0.
86.         5.5         0.          0.
86.         5.7         0.          0.
86.         5.9         0.          0.
86.         6.1         0.          0.
86.         6.3         0.          0.
86.         6.5         0.          0.
86.         6.7         0.          0.
86.         6.9         0.          0.
86.         7.1         0.          0.
86.         7.3         0.          0.
86.         7.5         0.          0.
86.         7.7         0.          0.
86.         7.9         0.          0.
86.         8.1         0.          0.
86.         8.3         0.          0.
86.         8.5         0.          0.
86.         8.7         0.          0.
86.         8.9         0.          0.
86.         9.1         0.          0.
86.         9.3         0.          0.
86.         9.5         0.          0.
86.         9.7         0.          0.
86.         9.9         0.          0.
86.         10.1        0.          0.
86.         10.3        0.          0.
86.         10.5        0.          0.
86.         10.7        0.          0.
86.         10.9        0.          0.
86.         11.1        0.          0.
86.         11.3        0.          0.
86.         11.5        0.          0.
86.         11.7        0.          0.
86.         11.9        0.          0.
86.         12.1        0.          0.
86.         12.3        0.          0.
86.         12.5        0.          0.
86.         12.7        0.          0.
86.         12.9        0.          0.
86.         13.1        0.          0.
